Subject,TASK,Time
1,Task1,341
2,Task1,291
3,Task1,283
4,Task1,155
5,Task1,271
6,Task1,270
7,Task1,250
8,Task1,272
9,Task1,209
10,Task1,236
11,Task1,295
12,Task1,214
13,Task1,443
14,Task1,632
15,Task1,310
16,Task1,334
17,Task1,376
18,Task1,305
19,Task1,216
20,Task1,339
21,Task2,806
22,Task2,415
23,Task2,389
24,Task2,317
25,Task2,283
26,Task2,865
27,Task2,298
28,Task2,952
29,Task2,443
30,Task2,379
31,Task2,562
32,Task2,362
33,Task2,275
34,Task2,398
35,Task2,706
36,Task2,496
37,Task2,656
38,Task2,285
39,Task2,232
40,Task2,244
41,Task3,277
42,Task3,295
43,Task3,293
44,Task3,184
45,Task3,218
46,Task3,240
47,Task3,174
48,Task3,303
49,Task3,284
50,Task3,299
51,Task3,431
52,Task3,202
53,Task3,143
54,Task3,282
55,Task3,276
56,Task3,245
57,Task3,572
58,Task3,237
59,Task3,497
60,Task3,377